编号,期刊,年份,题目,作者,作者机构,研究创新性,现状洞察度,理论建构力,逻辑连贯性,学术共识度,前瞻延展性,研究创新性_std,现状洞察度_std,理论建构力_std,逻辑连贯性_std,学术共识度_std,前瞻延展性_std,总分,平均标准差
132,中国法学,2024,人口老龄化背景下监护人承担侵权责任的体系解释,李国强[1],[1]大连海事大学法学院,78.2,85,77.5,83.2,85.2,55.8,4.7,4.1,4.4,4.3,0.5,5.9,77.5,3.98
133,中国法学,2021,人工智能歧视的法律治理,李成[1],[1]四川大学法学院,75.2,81.5,70,76.2,86.5,81,3.8,6.8,10.3,8.0,1.7,4.1,78.42,5.78
134,中国法学,2021,人格权侵害民事责任认定条款适用论,朱晓峰[1],[1]中央财经大学法学院,75.5,85.5,78.8,83.5,86.5,57.5,4.9,2.6,3.8,4.4,1.7,8.7,77.88,4.35
135,中国法学,2015,人格权确认与构造的法律依据,韩强[1],[1]华东政法大学,66.5,80.2,79.2,85,67.5,73.8,16.9,6.7,5.6,7.3,22.9,4.8,75.38,10.7
136,中国法学,2023,人格权编的中国范式与中国式现代化的实现,石佳友[1],[1]中国人民大学民商事法律科学研究中心,33.8,83.8,41.5,86.2,76.2,60.5,4.8,4.2,4.4,5.6,3.5,7.1,63.67,4.93
137,中国法学,2023,人格标识的“他为性”及其规范影响,曹相见[1],[1]吉林大学理论法学研究中心、法学院,82.8,80.8,82,90.5,89,77.5,3.6,4.6,4.2,1.9,1.2,5.6,83.75,3.52
138,中国法学,2023,人民团体规章：概念、体系和效力,屠凯[1],[1]清华大学法学院,51.8,69.5,71.2,79,86.5,56.8,14.8,2.5,11.4,2.0,1.7,3.5,69.12,5.98
139,中国法学,2021,人民调解员的制度角色考,吴元元[1],[1]西南财经大学法学院,34.5,75,56.8,84.5,71.2,65,5.3,11.5,16.7,6.7,17.6,10.8,64.5,11.43
140,中国法学,2024,人身损害赔偿请求权的分级与整合,张平华[1],[1]山东大学法学院,64.2,83,83.8,89,88,74.5,20.0,6.2,1.5,4.7,0.0,7.6,80.42,6.67
141,中国法学,2016,从合理原则走向统一的比例原则,杨登峰,南京师范大学法学院,56.2,86,53.8,85.2,74.8,59.5,19.3,9.7,10.3,2.9,6.1,9.1,69.25,9.57
142,中国法学,2024,从同一性到相似性：法律解释的结构转向与体系重构,陈辉[1],[1]南京师范大学法学院,73.8,68,76.5,83.2,75.5,78.5,15.2,18.8,1.7,4.3,9.9,1.0,75.92,8.48
143,中国法学,2020,从基础司改到综配司改:“内卷化”效应纾解,"杨力[1,2]",[1]上海交通大学中国法与社会研究院;[2]上海交通大学中国城市治理研究院,32.5,76.2,59.8,77.5,75,74.8,5.0,8.5,8.8,6.6,8.7,5.0,65.96,7.1
144,中国法学,2022,从相邻权到空间利益公平分配权：规划许可诉讼中“合法权益”的内涵扩张,成协中[1],[1]中国政法大学法学院,73.8,85.2,73.8,86.5,83,75,21.2,2.1,3.5,1.7,3.4,2.4,79.54,5.72
145,中国法学,2016,从立案审查到立案登记：法院在社会转型中的司法角色,陆永棣,浙江省高级人民法院,35.5,46,40.8,79.2,63.5,70.8,8.4,34.3,3.4,5.6,10.6,3.4,55.96,10.95
146,中国法学,2015,从隐私到个人信息：利益再衡量的理论与制度安排,张新宝,[1]中国人民大学法学院,55.8,79.8,79.2,79.5,82,74,16.1,6.0,7.2,2.5,3.6,2.7,75.04,6.35
147,中国法学,2018,以买卖合同担保借贷的解释路径与法效果,陈永强,中国计量大学法学院,74.2,84,84.2,85.8,85.2,76.8,19.6,1.4,4.3,5.7,0.5,5.7,81.71,6.2
148,中国法学,2021,以危险方法危害公共安全罪认定规则研究,江溯[1],[1]北京大学法学院,78.2,83.8,83.8,84.2,82.5,75.5,5.3,2.1,1.5,1.5,4.1,6.7,81.33,3.53
149,中国法学,2017,以古代中国与日本为中心的中华法系之律家考,何勤华,华东政法大学法律文明史研究院,31.2,32.5,35.8,58,41.5,45,2.5,11.9,1.5,5.7,1.0,12.2,40.67,5.8
150,中国法学,2024,以大协同格局加强涉外法治建设,郭雳[1],[1]北京大学法学院,30,7.5,31.2,55,43.8,54.5,0.0,8.7,7.5,4.1,2.5,14.1,37,6.15
151,中国法学,2016,以审判为中心背景下的刑事辩护突出问题研究,顾永忠,中国政法大学诉讼法学研究院,60.5,46,49.5,72.8,81,69,16.3,20.0,23.3,3.6,6.2,6.2,63.12,12.6
152,中国法学,2022,企业合规不起诉改革的实体法障碍及其消除,黎宏[1],[1]清华大学法学院,87,82.8,81.8,88,82,81.2,2.4,1.5,9.7,6.7,3.6,4.3,83.79,4.7
153,中国法学,2015,企业犯罪预防中合规计划制度的借鉴,"李本灿[1,2]",[1]山东大学法学院;[2]山东大学博士后流动站,61.5,51.2,37.8,77.8,75,59.5,14.1,14.9,13.6,6.8,9.6,4.2,60.46,10.53
154,中国法学,2024,优先购买权中转让人的利益失衡与校正,"梁上上[1,2]",[1]清华大学法学院;[2]清华大学法学院新利益法学研究中心,78.2,65.2,66.5,87.5,86.5,67,6.2,23.5,14.9,3.3,1.7,8.0,75.17,9.6
155,中国法学,2020,传销犯罪的司法限缩与立法完善,"印波[1,2]",[1]北京师范大学刑事法律科学研究院;[2]中国企业家犯罪预防研究中心,75.2,60,73.2,79.5,82.5,80,14.4,40.1,14.2,1.9,3.3,4.4,75.08,13.05
156,中国法学,2019,作为利害调整法的行政法,王贵松[1],[1]中国人民大学法学院,57,77.8,76.5,84.5,82.5,77,16.7,7.1,1.7,1.7,3.3,2.4,75.88,5.48
157,中国法学,2020,作为化解行政争议主渠道的行政复议:功能反思及路径优化,曹鎏[1],[1]中国政法大学法治政府研究院,50.8,66,59,73.5,83.2,80.8,14.9,36.0,6.6,5.8,6.7,3.0,68.88,12.17
158,中国法学,2016,作为方法论的“地方法制”,葛洪义,浙江大学法学院,55,12.5,65.8,77.8,83.2,78.5,17.8,14.4,1.5,9.2,2.4,4.5,62.12,8.3
159,中国法学,2021,"作为行政处罚一般种类的""通报批评""",朱芒[1],[1]上海交通大学凯原法学院,74,54.2,78.5,83.2,80.2,75.2,6.7,17.7,4.7,2.8,8.0,4.1,74.25,7.33
160,中国法学,2021,依法治国和依规治党有机统一研究,韩春晖[1],[1]中共中央党校(国家行政学院)政治和法律教研部,28,37.5,42,65.5,68.5,77.5,4.0,15.5,5.7,4.9,20.7,2.9,53.17,8.95
161,中国法学,2018,依法治国语境下检察机关的性质与职权,魏晓娜,中国人民大学刑事法律科学研究中心,52.8,78.8,56.2,79.5,85.2,69.8,17.5,5.4,21.7,6.0,9.4,3.3,70.38,10.55
162,中国法学,2024,侵害企业数据权益的民事责任,王叶刚[1],[1]中央财经大学法学院,67.5,84,81.8,87.5,83.2,64.2,21.9,4.2,6.9,3.3,2.8,1.5,78.04,6.77
163,中国法学,2020,侵权责任编:在承继中完善和创新,"张新宝[1,2]","[1]中国人民大学法学院,中国人民大学民商事法律科学中心;[2]中国法学会民法典编纂项目领导小组",35.5,41.2,37.5,69.5,72.5,76.8,1.7,9.5,2.9,6.6,5.6,5.7,55.5,5.33
164,中国法学,2020,保护规范理论的误解澄清与本土适用,赵宏[1],[1]中国政法大学法学院,71,89,68.2,89.8,80.5,69,19.8,2.7,15.6,3.3,4.8,16.1,77.92,10.38
165,中国法学,2020,保险人撤销权:保险法中的一个制度选择及其合理性追问,"于海纯[1,2]",[1]对外经济贸易大学;[2]国家对外开放研究院,74.8,88,70.5,88.8,85,77.8,9.0,2.2,17.6,3.0,6.2,2.1,80.79,6.68
166,中国法学,2019,保险损失补偿原则适用范围思考,任自力[1],[1]北京航空航天大学法学院,81.5,70.2,66.5,87.5,80,75,4.4,24.0,19.8,3.3,4.4,0.0,76.79,9.32
167,中国法学,2019,信用、法治与现代经济增长的制度基础,王若磊[1],[1]中央党校政法部,49.2,51.2,57.8,84.8,82.5,57.2,17.9,18.9,13.0,4.7,3.3,15.6,63.79,12.23
168,中国法学,2015,修复、矫治与分控：社区矫正机能三重性辩证及其展开,李川[1],[1]东南大学法学院,62,76.8,67.8,84,75.5,78.8,19.6,9.9,22.6,6.3,11.7,3.0,74.12,12.18
169,中国法学,2024,债务人合法权益平等保护制度论纲,谭启平[1],[1]西南政法大学民商法学院,36.2,77.2,56,82,68.5,62.8,7.5,8.4,2.4,7.7,15.7,4.1,63.79,7.63
170,中国法学,2020,债权转让中对债务人的延续性保护,"朱虎[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,79.5,75.5,59.5,89.5,88,66,4.8,14.5,23.4,1.9,1.6,1.4,76.33,7.93
171,中国法学,2024,健全保证宪法全面实施制度体系,韩大元[1],[1]中国人民大学法学院,30,45,49,69.8,53.2,59,0.0,7.1,4.2,5.7,8.9,18.3,51,7.37
172,中国法学,2024,健全公正执法司法体制机制,贺小荣[1],[1]最高人民法院党组,32,20,32.5,52.8,38.8,56.2,4.0,10.0,2.9,10.4,4.3,6.3,38.71,6.32
173,中国法学,2019,健康权的规范构造,陈云良[1],[1]广东外语外贸大学广东法治研究院,50,72.8,75,75.2,74.5,74.8,14.7,8.3,8.9,2.5,4.7,3.4,70.38,7.08
174,中国法学,2018,儒家民族观影响下的中国古代民族法制,邵方,中国政法大学法律史学研究院,31.2,37.5,33.8,47,37.5,29.2,2.5,2.9,2.5,6.3,5.0,5.4,36.04,4.1
175,中国法学,2022,元宇宙治理法治化的理论定位与基本框架,王奇才[1],[1]上海师范大学哲学与法政学院,46.2,56.8,67,85.8,80.5,66.8,11.1,25.3,3.5,2.9,3.8,7.9,67.17,9.08
176,中国法学,2022,元宇宙的行政规制路径：一个框架性分析,黄锫[1],[1]同济大学法学院,37.5,41.8,63,84.5,69.2,60,8.7,27.6,23.9,1.7,7.2,5.0,59.3,12.35
177,中国法学,2015,先公司合同问题研究,方斯远,最高人民法院中国应用法学研究所,73.5,88.2,77.5,83.2,80.8,66.8,17.9,2.9,10.8,4.3,3.4,14.6,78.33,8.98
178,中国法学,2022,免罚清单的实证与法理,张淑芳[1],[1]上海财经大学法学院,57,62,68.2,77,81.5,81.8,8.5,5.7,4.7,7.9,4.0,6.5,71.64,6.22
179,中国法学,2019,党内法规制定技术规范论纲,管华[1],[1]西北政法大学行政法学院,34,56.2,60.8,78,82.2,74.2,4.6,21.1,5.1,4.3,5.3,2.9,64.25,7.22
180,中国法学,2024,党内法规的概念分析,朱林方[1],[1]西南政法大学行政法学院,73.2,85.5,69.2,87.2,86,69.2,19.1,1.7,24.3,1.5,1.4,6.5,78.42,9.08
181,中国法学,2021,党内法规的百年演进与治理之道,宋功德[1],[1]中共中央办公厅法规局,30,22.5,43.8,67,37.5,36.2,0.0,8.7,2.5,2.4,5.0,2.5,39.5,3.52
182,中国法学,2020,党政联合发文的信息公开困境与规则重塑:基于司法裁判的分析,张力[1],[1]中国政法大学法学院,69.5,82.5,69.2,85.5,82.8,78,20.5,5.6,16.7,6.6,1.5,8.5,77.92,9.9
183,中国法学,2024,党领导立法的规范原理与构造,封丽霞[1],[1]中共中央党校(国家行政学院)政治和法律教研部,34.5,60.8,47.5,74.8,71.5,60,3.3,5.4,2.9,9.3,5.7,10.6,58.17,6.2
184,中国法学,2023,全国人大常委会授权的宪法定位及合宪性展开,秦小建[1],[1]中南财经政法大学法学院,81.5,84,82.8,87.5,87.2,76.2,11.1,4.2,3.6,4.1,1.5,8.5,83.21,5.5
185,中国法学,2018,全球治理背景下人类命运共同体的阐释与构建,"廖凡[1,2]",[1]中国社会科学院国际法研究所;[2]最高人民法院＂一带一路＂司法研究基地,28.8,47,39.5,79,68.2,64.5,4.8,6.3,4.2,7.4,9.7,1.7,54.5,5.68
186,中国法学,2017,全球治理背景下国际税收秩序的挑战与变革,张泽平,华东政法大学,31.2,52.8,46.2,80.2,82.8,60.5,2.5,2.2,2.5,5.6,7.3,4.2,58.96,4.05
187,中国法学,2023,全球经贸关系演变中的国际法治危机及其应对,刘敬东[1],[1]中国社会科学院国际法研究所,44.2,77,57.8,81.8,71.8,71,8.3,2.4,7.6,6.9,2.9,6.2,67.25,5.72
188,中国法学,2015,全面深化改革中的民法典编纂,王利明,[1]中国人民大学;中国人民大学民商事法律科学研究中心,28.8,35.8,36.2,66,73,73,2.5,17.2,2.5,4.9,3.5,8.5,52.12,6.52
189,中国法学,2022,公共健康危机的知识产权法应对,万勇[1],[1]中国人民大学法学院,59.8,85.8,66.5,79,86,80.2,17.4,1.7,7.0,1.2,1.4,3.3,76.21,5.33
190,中国法学,2021,公共卫生预警原则和机制建构研究,解志勇[1],[1]中国政法大学比较法学研究院,49,52,73.8,86.5,85.5,72.2,21.0,10.9,5.1,6.0,1.7,2.1,69.83,7.8
191,中国法学,2019,公共服务供给权责配置研究,李蕊[1],[1]中国政法大学民商经济法学院,56.2,75,69.5,80.8,83,59.2,17.1,0.0,14.8,3.4,2.2,5.1,70.62,7.1
192,中国法学,2022,公司利益范式下的董事义务改革,傅穹[1],[1]吉林大学理论法学研究中心、法学院,59,83,74.5,84.5,81.2,80.5,13.2,1.4,7.6,6.6,7.5,2.9,77.12,6.53
193,中国法学,2020,公司法定代表人越权签署的担保合同效力规则的反思与重构,刘俊海[1],[1]中国人民大学法学院,47.5,61,69,71.2,83,61.5,13.2,22.5,10.2,6.2,8.1,15.7,65.54,12.65
194,中国法学,2021,公司法改革的文化拘束,蒋大兴[1],[1]北京大学法学院,66,82.5,51.2,81.2,76.8,76.5,15.1,3.4,12.2,3.8,4.3,7.0,72.38,7.63
195,中国法学,2016,公司解散纠纷的司法实践和裁判规则改进,耿利航,山东大学法学院,57.8,64.8,68.8,83.2,83,63.5,25.4,24.5,7.5,7.8,3.5,1.7,70.17,11.73
196,中国法学,2015,公司资本制度改革的正当性：基于债权人保护功能的法经济学分析,黄辉,香港中文大学法学院,77,73,76.2,86.8,80,75.8,3.4,2.4,6.7,3.2,4.4,4.3,78.12,4.07
197,中国法学,2021,公司软法定位及其与公司法的衔接,王兰[1],[1]厦门大学法学院,48,78.2,77,84.5,81,60,12.1,4.6,11.2,5.5,4.2,12.9,71.46,8.42
198,中国法学,2015,公平公正待遇条款的法方法困境及出路,梁开银,浙江师范大学法政学院,81,83.5,70,82.2,83,80.5,6.5,1.7,6.3,2.1,2.4,1.0,80.04,3.33
199,中国法学,2021,公平竞争原则与政府规制变革,孙晋[1],[1]武汉大学法学院,42.5,71.2,58.8,79.8,82.5,77.5,6.5,7.9,9.4,5.2,2.1,3.3,68.71,5.73
200,中国法学,2016,公序良俗在我国的司法适用研究,蔡唱,湖南大学法学院,60.5,82,51.8,76.5,78.2,76.8,23.8,0.0,11.6,1.7,2.9,5.7,70.96,7.62
201,中国法学,2021,公民遵守劳动纪律义务的宪法变迁与启示,"阎天[1,2]",[1]北京大学宪法与行政法研究中心;[2]北京大学法学院,78.8,72.2,63,87.8,85,72.2,6.5,7.0,7.6,2.1,0.8,0.5,76.5,4.08
202,中国法学,2015,公私关系的认识论重建与国际法发展,蔡从燕[1],[1]厦门大学法学院,62,62.2,75.8,86.2,81,74.5,8.1,7.1,2.9,3.5,3.2,1.0,73.62,4.3
203,中国法学,2023,共享经济财产容他权研究,付大学[1],[1]天津工业大学法学院,50.8,84.5,70,75.8,80.8,72.5,16.5,1.7,10.3,3.3,3.4,3.3,72.38,6.42
204,中国法学,2020,共同市场支配地位制度拓展适用于算法默示共谋研究,"时建中[1,2]",[1]中国政法大学;[2]中国政法大学法治经济研究院,67.8,83.2,80.2,80.8,80.8,76.2,22.3,4.3,5.7,3.4,6.0,4.2,78.17,7.65
205,中国法学,2020,共同市场支配地位的理论基础与规则构造,张晨颖[1],[1]清华大学法学院,83.2,84,78.2,87,79.8,66,3.9,1.8,12.4,6.2,6.7,0.8,79.71,5.3
206,中国法学,2020,共犯处罚根据论的反思与修正:新混合惹起说的提出,王昭武[1],[1]云南大学法学院,81.5,74.2,80.2,87,78.2,73.8,7.7,26.9,5.5,2.4,7.4,8.0,79.17,9.65
207,中国法学,2015,内幕交易违法所得司法判断规则研究,刘宪权,华东政法大学,79.2,71,76,70,85.5,66.2,7.2,11.6,9.5,13.2,3.3,10.6,74.87,9.23
208,中国法学,2023,再论建设用地使用权出让合同的民事属性,屈茂辉[1],[1]湖南大学法学院,74,80.5,66.5,85.8,85,70,5.4,1.9,15.6,1.7,0.8,2.3,76.96,4.62
209,中国法学,2021,再论行政应急性原则:内涵、证立与展开,彭錞[1],[1]北京大学法学院,87.5,76.2,85.8,86.2,87.2,66.2,2.9,6.3,1.5,6.2,1.5,8.1,81.54,4.42
210,中国法学,2018,再论辩护律师向犯罪嫌疑人、被告人核实证据,朱孝清,中国法学会,60.8,63.8,60.8,76.2,82.2,72,17.4,21.4,11.2,6.7,3.1,5.7,69.29,10.92
211,中国法学,2015,农村土地流转的合宪性分析,李忠夏,[1]山东大学法学院,86.5,74.2,75.2,86,80.8,80,1.7,11.5,4.7,3.2,12.6,2.8,80.46,6.08
212,中国法学,2019,农民集体成员权、农民集体决议与乡村治理体系的健全,王雷[1],[1]中国政法大学民商经济法学院,78.8,78.8,79,83,86.5,64.2,4.7,6.4,9.2,5.8,3.7,8.3,78.38,6.35
213,中国法学,2019,减税、减负与预算法变革,陈治[1],[1]西南政法大学经济法学院,82.5,65.5,69.5,87,83.2,84.2,5.6,10.4,7.1,6.2,1.5,1.5,78.67,5.38
214,中国法学,2017,减负与转型的经济法推进,张守文,北京大学法学院,32.5,57.5,54.5,84.8,74.5,61.5,5.0,10.8,15.4,2.4,13.3,6.0,60.88,8.82
215,中国法学,2023,分层土地利用中的强制地役权研究,林旭霞[1],[1]福建师范大学法学院,77,75.2,83.5,88.5,85.5,69.8,14.8,14.4,1.7,1.0,3.3,8.5,79.92,7.28
216,中国法学,2016,刑事司法实证研究：以数据及其运用为中心的探讨,何挺,北京师范大学刑事法律科学研究院,34.2,62.5,62,72.2,76.5,77,5.7,15.5,6.8,7.6,8.3,2.4,64.08,7.72
217,中国法学,2017,刑事司法应坚持罪责实质评价,阮齐林,中国政法大学刑事司法学院,56.5,50.5,71.2,86,82.5,49.2,22.2,21.9,12.7,5.0,3.3,11.8,66,12.82
218,中国法学,2019,刑事对物之诉的初步研究,陈瑞华[1],[1]北京大学法学院,72.2,65.8,76.8,85.2,85,74.2,5.9,10.9,4.3,0.5,0.0,5.7,76.54,4.55
219,中国法学,2018,刑事庭审实质化的维度与机制探讨,陈实,中南财经政法大学法学院,72.5,80,70.5,82.8,79.5,76.8,5.6,7.9,7.5,4.1,8.4,4.3,77,6.3
220,中国法学,2022,刑事强制医疗解除程序实证研究,王迎龙[1],[1]北京工商大学法学院,75.2,70.8,63.8,72.5,84,66.2,0.5,4.7,14.9,12.0,4.2,8.5,72.08,7.47
221,中国法学,2019,刑事案件的差异化判决及其合理性,周少华[1],[1]广州大学法学院,69.8,83,71.8,86,82.5,75,21.9,2.0,14.2,2.8,5.6,4.1,78,8.43
222,中国法学,2023,刑事涉案虚拟财产强制处分论,田力男[1],[1]中国人民公安大学法学院,63.5,68.2,80.2,85.5,82.5,75.8,13.2,27.0,8.8,5.0,3.3,1.5,75.96,9.8
223,中国法学,2021,刑事职能管辖错位的程序规制,谢小剑,江西财经大学法学院,71.8,83.2,69.2,80,79.2,70,6.2,4.3,17.1,2.3,5.1,10.3,75.58,7.55
224,中国法学,2024,刑事裁判中法律学说的运用困境及其解决路径,梁健[1],[1]浙江大学光华法学院,51,73,55.5,77.5,78,69.2,14.3,4.2,20.9,4.1,5.7,11.4,67.38,10.1
225,中国法学,2023,刑事证据“生命流程”的理论阐释,冯俊伟[1],[1]山东大学法学院,54.8,86.5,70.5,85,83,75,14.9,2.4,7.5,2.4,2.4,3.5,75.79,5.52
226,中国法学,2017,刑事证据审查的基本制度结构,吴洪淇,中国政法大学证据科学教育部重点实验室,83.2,53.2,83.2,87.2,81.2,78.5,5.7,16.7,5.7,3.6,3.0,3.0,77.79,6.28
227,中国法学,2021,"刑事诉讼中的""人"":一种主体性研究",左卫民[1],[1]四川大学法学院,60.8,78.5,51.2,80.5,82.8,79.5,13.6,1.3,7.5,1.9,1.5,4.2,72.21,5.0
228,中国法学,2021,刑事诉讼中程序惯性的反思与规制,郑曦[1],[1]北京外国语大学法学院,67.2,64.2,72,80,84.2,67,8.2,1.5,7.7,2.3,1.5,8.5,72.46,4.95
229,中国法学,2023,刑事诉讼主体理论的扬弃与超越,谢澍[1],[1]中国政法大学刑事司法学院,72.5,83,76.8,86.5,84.5,71,6.5,1.4,5.7,3.4,4.9,4.2,79.04,4.35
230,中国法学,2022,刑事诉讼事实形成机理探究,杨波[1],[1]吉林大学法学院,76.2,86,81.2,79.5,81.8,79.8,12.1,2.3,7.0,5.8,4.7,3.5,80.75,5.9
231,中国法学,2024,刑事诉讼数据处理的全流程监管,郑曦[1],[1]北京外国语大学法学院,30,60.2,80,80,83.8,67.2,0.0,5.6,5.4,2.3,2.6,4.6,66.88,3.42
232,中国法学,2024,刑事诉讼数据处理的全流程监管,郑曦,北京外国语大学法学院,50.5,58.8,83.2,85.2,81,60.8,19.3,4.8,7.6,2.5,2.0,5.1,69.92,6.88
233,中国法学,2019,刑事诉讼法与监察法的衔接难题与破解之道,程雷[1],[1]中国人民大学刑事法律科学研究中心,71.5,76,59.8,84,82.2,79.5,17.1,5.4,15.8,1.4,3.1,2.5,75.5,7.55
234,中国法学,2017,刑事陪审中法律问题与事实问题的区分,陈学权,对外经济贸易大学法学院,54.5,70.5,78,82.8,72.5,74.2,20.4,10.5,10.2,4.6,25.1,1.5,72.08,12.05
235,中国法学,2021,刑民界分视野下诈骗罪成立范围的实质认定,陈少青,对外经济贸易大学法学院,85.8,79.8,86.8,85.5,80.5,70,1.5,3.5,6.7,2.1,6.1,8.3,81.38,4.7
236,中国法学,2018,刑法中行为论的新展开,李世阳,浙江大学光华法学院,76.5,90.2,84,87,85.2,67.8,7.9,3.9,4.2,2.4,2.1,2.1,81.79,3.77
237,中国法学,2023,刑法再法典化的法理与蓝图,姜涛[1],[1]华东政法大学,58.5,83,73.5,81.2,88.2,74.5,11.4,3.2,1.7,3.0,2.9,6.7,76.5,4.82
238,中国法学,2021,刑法干预前置化的理性反思,王强军[1],[1]南开大学法学院,65.5,77.8,67.8,81.5,83,80,12.6,1.3,16.0,2.5,3.8,5.4,75.92,6.93
239,中国法学,2015,刑法立法阻却事由的理论界定与制度前景,姜涛[1],[1]南京师范大学法学院,63,77,74.2,76.2,78.5,78.5,10.9,3.5,12.2,6.7,5.2,1.0,74.58,6.58
240,中国法学,2019,制度型对外开放的支点:私法关系涉外性之界定及重构,张春良[1],[1]西南政法大学,68.8,78.5,72.2,85.8,80.5,80,3.0,4.9,7.6,5.9,4.2,2.3,77.62,4.65
241,中国法学,2018,制度角色与制度能力：论刑事证明标准的降格适用,陈虎,中南财经政法大学法学院,75,86.5,73.5,86.2,84.2,69.8,14.1,1.7,9.5,5.6,1.5,5.7,79.21,6.35
